date,time,emotion,activity,overall_mood,notes
09-25,10:00,Tired,mrn,3,Waking up
09-25,13:00,Unproductive,st,4,Study time
09-25,14:00,Productive,st,5,Focus returned
09-25,17:00,Chill,sh,5,Shopping
09-25,19:00,Chill,go,5,Going out
09-25,20:00,Chill,ga,5,Gaming (sleepy)
09-25,22:00,Tired,evn,5,Evening routine
09-26,7:00,Motivated,mrn,6,Early wake
09-26,11:00,Productive,le,7,Lecture
09-26,13:00,Happy,go,7,Going out
09-26,15:00,Productive,st,7,Study time
09-26,19:00,Chill,ga,7,Gaming (tired)
09-27,3:00,Chill,ga,7,Late gaming / bed (tired)
09-27,11:00,Tired,mrn,5,Sleepy morning
09-27,12:00,Tired,go,5,Going out (sleepy)
09-27,15:00,Chill,sh,6,Shopping
09-27,17:00,Unproductive,st,5,Study time
09-27,19:00,Happy,ga,6,Gaming (chill/happy)
09-27,22:00,Tired,evn,5,Evening routine
09-28,7:00,Motivated,mrn,6,Waking up
09-28,10:00,Productive,st,7,Good study block
09-28,14:00,Happy,go,7,Going out
09-28,16:00,Chill,ga,6,Gaming
09-28,21:00,Tired,evn,5,Evening routine
09-29,7:00,Motivated,mrn,6,Chill/Motivated
09-29,9:00,Productive,le,7,Lecture
09-29,13:00,Productive,st,7,Focused study
09-29,16:00,Happy,g,8,Gym
09-29,20:00,Chill,ga,6,Gaming
09-29,22:00,Tired,evn,5,Evening routine
09-30,12:00,Anxious/Unwell,mrn,3,"Woke up late, unwell"
09-30,15:00,Unproductive,st,4,Low focus
09-30,17:00,Unproductive,ga,4,Distracted gaming
09-30,21:00,Tired,evn,3,Low energy evening
10-01,6:00,Tired,mrn,5,Morning rise
10-01,12:00,Unproductive,le,4,Low energy lecture (wave dip)
10-01,12:30,Productive,st,5,Recovered to neutral
10-01,18:00,Chill,go,6,Going out
10-01,24:00:00,Tired,evn,5,Evening routine
10-02,6:00,Calm,mrn,6,Steady start
10-02,12:00,Productive,st,6,Study
10-02,18:00,Chill,ga,6,Gaming
10-02,24:00:00,Tired,evn,5,Evening routine
10-03,6:00,Motivated,mrn,6,Morning
10-03,9:00,Productive,le,6,Lecture
10-03,12:00,Focused,lt,6,Lab/Tutorial
10-03,18:00,Chill,ga,6,Gaming
10-03,24:00:00,Calm,evn,5,Evening routine
10-04,12:00,Calm,mrn,5,Late morning
10-04,18:00,Chill,sh,6,Shopping
10-04,20:00,Chill,ga,6,Gaming
10-04,24:00:00,Calm,evn,5,Evening routine
10-05,6:00,Calm,mrn,5,Morning
10-05,12:00,Motivated,g,7,Gym
10-05,18:00,Chill,ga,6,Gaming
10-05,24:00:00,Tired,evn,5,Evening routine
10-06,6:00,Calm,mrn,5,Morning
10-06,9:00,Productive,le,6,Lecture
10-06,12:00,Focused,lt,6,Lab/Tutorial
10-06,18:00,Motivated,g,7,Gym
10-06,21:00,Happy,go,6,Going out
10-06,24:00:00,Calm,evn,5,Evening routine
10-07,6:00,Tired,mrn,5,Morning
10-07,12:00,Productive,st,6,Study
10-07,18:00,Calm,go,6,Going out
10-07,24:00:00,Tired,evn,5,Evening routine
10-08,6:00,Calm,mrn,5,Morning
10-08,12:00,Motivated,g,7,Gym
10-08,18:00,Chill,ga,6,Gaming
10-08,24:00:00,Calm,evn,5,Evening routine
10-09,6:00,Calm,mrn,5,Morning
10-09,12:00,Productive,st,6,Study
10-09,18:00,Happy,go,6,Going out
10-09,24:00:00,Tired,evn,5,Evening routine
